time,seconds_elapsed,Acc z,Acc y,Acc x,time,seconds_elapsed,gyro_z,gyro_y,gyro_x
1.71507E+18,0.666824463,-0.028330803,0.269276619,-0.144034237,1.71507E+18,0.669660156,0.037873644,0.026190847,-0.040927973
1.71507E+18,0.676824463,-0.02884388,0.270305157,-0.141702443,1.71507E+18,0.6796604,0.0421497,0.046349399,-0.082466811
1.71507E+18,0.686824463,0.591537476,0.334345818,-0.218654737,1.71507E+18,0.689660156,0.047036625,0.044516806,-0.094073251
1.71507E+18,0.696824219,0.660732269,0.291681767,-0.149399132,1.71507E+18,0.699659912,0.052534413,0.020082194,-0.070249505
1.71507E+18,0.706824463,0.529564857,0.194850922,-0.046630085,1.71507E+18,0.709660156,0.057421334,-0.025732698,-0.012217305
1.71507E+18,0.716824463,0.295091629,0.108309269,0.063105203,1.71507E+18,0.7196604,0.062308256,-0.073380187,0.056199603
1.71507E+18,0.726824463,0.051334381,0.100225925,0.186843961,1.71507E+18,0.729660156,0.065973446,-0.101479992,0.113010071
1.71507E+18,0.736824219,-0.134988785,0.125817299,0.271383435,1.71507E+18,0.739659912,0.068416908,-0.100258261,0.150883719
1.71507E+18,0.746824463,-0.128088951,0.112262726,0.259704828,1.71507E+18,0.749660156,0.062919118,-0.067882404,0.134390354
1.71507E+18,0.756824463,-0.227066994,0.245881081,0.339271098,1.71507E+18,0.7596604,0.053145275,-0.026343564,0.091629788
1.71507E+18,0.766824463,-0.009094238,0.284270287,0.261608839,1.71507E+18,0.769660156,0.042760566,0.002367103,0.044593163
1.71507E+18,0.776824219,0.247849464,0.282940388,0.15732722,1.71507E+18,0.779659912,0.040927973,0.035353824,0.01038471
1.71507E+18,0.786824463,0.457825661,0.260539532,0.120335013,1.71507E+18,0.789660156,0.04642576,0.04757113,0.001832596
1.71507E+18,0.796825195,0.614536285,0.236890316,0.165559977,1.71507E+18,0.799660889,0.04642576,0.029245174,0.021380283
